Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bhutan,BTN,..,..,..,600,600,600,600,600,600,600,900,900,1000,1000,1100,1138,1297,1948,1890,2306,2467,2566,2720,2772,2706,3053.39992695398,4146.03177501826,3553,5820,8772,4640.388,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bolivia,BOL,15400,17400,15300,15900,16100,15600,15100,14000,12600,15300,16600,31700,34700,32000,24000,21566,20007,20560,28901,25764,25644,21978,24089,21088,19011,37019,40751.4507216495,41974.6792042443,33467,40560,29717.4300151605,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,1100,4300,4768,4530,4394,4570,..,..,..,..,1004,1359,1573.54975701333,1060.06567164179,750.069402985075,552,420,81.06,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Botswana,BWA,3500,3300,4300,4600,4900,5800,6700,6300,3800,3600,4000,4200,4900,5400,5900,6703,7138,7304,7214,7885,8181,6905,7366,6105,6142,7681,7910.25856004678,8422.23447986064,9396,8304,8438.436,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brazil,BRA,335100,367900,386200,401900,398700,415900,457700,405500,400100,408300,453500,483600,568600,609900,692600,628081,654106,627878,486777,486025,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Brunei Darussalam,BRN,3700,3600,3400,3500,3600,4400,4400,5100,6700,9600,11800,12200,13600,13600,16200.0009765625,12739,12237,11953,11812,13322,11808,12381,12128,13071,12274,12333,11672,10374,10920,10392,11624,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Bulgaria,BGR,37000,38700,40000,39800,35900,37200,15300,16500,17300,16900,14700,13600,12700,14600,15200,12158,6687,2252,4577,7848,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,12208,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burkina Faso,BFA,2400,3600,2700,2800,2800,2200,2900,2800,3000,3000,3100,3300,1800,1800,3300,3368,1983,1257,1285,1415,1471,1512,1614,1413,1433,4235,3983.15025906736,3856.22456300177,3780,3672,3874.896,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Burundi,BDI,600,400,900,900,900,900,900,900,900,900,1000,1000,1400,1400,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cabo Verde,CPV,8100,6100,6700,6700,6700,6700,6600,6800,6800,6800,7100,7400,14600,14800,12100,13010,8745,8735,9434,16612,19905,19862,21086,12236,11560,10363,10658.0712931195,10555.2286515647,8148,7728,7308.192,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4648,4512,3893,3207,3998,4324,3667,3304,5104.72222222222,7191,7432,11897.0432386171,14732,12983,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cameroon,CMR,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5498.688,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Canada,CAN,351900,343000,333800,380900,370200,346800,257800,258700,243700,253500,282800,305800,310800,317800,319600,963468,982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1234528.61925597,1245743.61579713,1280198.18557714,1263297.33686341,1290419,1322033,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Central African Republic,CAF,4300,4300,4300,4400,4400,3800,4500,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chad,TCD,2100,2100,1600,1700,1700,1200,1800,1700,1900,1900,2000,2100,1800,1800,1500,1518,716,..,..,..,..,..,..,..,..,699.531448355453,984,664,72,72,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Chile,CHL,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,China,CHN,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Colombia,COL,124100,123900,118200,118600,127000,116900,124500,147100,167200,181500,193700,195200,224800,234700,208600,199370,190465,179994,171933,153204,162095,175006,185872,187382,196298,226094,237570.829047845,254059.928996848,304365.908,317332.363,363293.312,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Comoros,COM,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Dem. Rep.",COD,3900,5000,5200,4500,4800,5100,3500,3000,2600,3900,..,..,..,..,..,..,5200,..,..,..,..,..,..,..,..,1945,2295,4781,11448,11580,12476.7018656827,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Rep.",COG,6400,6700,4400,4500,4700,4100,4800,4700,4900,4900,6300,5400,10200,10300,6000,6257,5235,4505,4783,..,..,..,..,..,..,3755.33363289149,4817,7011,12132,10380,11461.044,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Costa Rica,CRI,8500,8400,9200,10800,11400,12500,13300,15100,16900,18300,26900,20800,24300,36900,32000,24297,32270,32605,31219,33517,36045,36170,37284,36786,33285,41600.5549745151,43354,40081,42831,50239,58680.112,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cote d'Ivoire,CIV,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,..,..,..,..,..,..,..,..,5604,907,415,3912,4032,6108.883,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Croatia,HRV,..,..,..,..,..,..,1900,4100,9200,12000,13300,15000,16700,16800,15900,16955,18258,19340,19751,20482,22031,21641,22391,24728,24613,24766,26743,26456,24305,25161,25183,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cuba,CUB,16000,18700,19400,17600,18900,19400,12000,9900,8600,12500,12800,14400,16800,19700,15700,12264,11728,9773,8998,10937,11484,11533,11874,11686,10653,21235.4502809087,18302.8583708965,15869.7722047845,23292,15468,17592.1785734266,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cyprus,CYP,6100,6400,6400,6600,6700,7600,8000,10300,10800,11500,10900,10600,11500,12000,12100,12551,13321,15081,16908,19073,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Czech Republic,CZE,21700,22200,21800,22100,24200,22300,20200,23100,24800,23500,26100,26900,28300,29500,34800,40027,44164,46574,52127,66134,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,55774.578,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Denmark,DNK,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,13253,13783,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Djibouti,DJI,3200,3900,2100,3900,3900,3900,3900,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominican Republic,DOM,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,..,..,..,..,..,..,..,..,..,..,1552,2286,2303,1908,1584,1421.16,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ecuador,ECU,26300,27000,27600,27300,27800,27900,27900,20300,45000,43400,21800,22500,26200,26900,20200,18419,16523,15407,24801,28422,29844,31016,44842,49162,46485,60835,49193,54250.9226188785,58687,61248,63665.311,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Egypt, Arab Rep.",EGY,31500,29800,30900,33800,35200,19800,25700,34100,31300,38000,39000,41300,41600,39500,44300,47418,41373,41858,42152,42189,44730,47444,51440,57510,56414,104036.125,78726.0909090909,92303,100735.5,95744,101349.925,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,El Salvador,SLV,9400,9700,9500,9400,9600,10700,12400,14600,15500,18800,20000,20900,19100,19400,32000,37098,26059,19407,22063,23660,23964,24879,22465,21056,19339,20961.2770874618,24699,26622,29114,31662,28671,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Equatorial Guinea,GNQ,400,400,400,1400,400,400,400,400,400,400,400,400,600,600,..,..,..,..,..,..,..,..,..,..,..,717.170923379175,2808,8201,19416,14136,22350.1795229667,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,539,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Estonia,EST,..,..,..,..,..,..,..,5500,5700,5700,6500,5100,7800,11400,10600,9199,9133,8324,8522,7814,8350,8183,9214,11478,8592,12207.9705512659,13492,26778,13356,13524,13954.44,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ethiopia,ETH,21600,23700,24400,22900,23600,20600,20000,25000,24200,25600,26200,24800,28100,27100,24900,26624,28128,28359,27204,29546,30961,33644,37528,39804,44154,48783,57728,62136,68131,71166,83940.32,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Fiji,FJI,15800,14200,13100,23700,23600,23500,23200,27200,27000,31000,32600,33600,86900,87900,57300,57776,62768,37685,38732,36920,41886,46866,46359,46467,45595,26127,18142,16011.2858124356,11748,19140,19487,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Finland,FIN,70300,66400,77300,84000,89800,93400,92000,93600,90300,91000,97000,103200,113300,119000,120700,145174,128881,108923,107026,109209,107108,114699,118686,114371,104740,132408.28422807,144467,138914.132653061,138987,140256,96708,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,France,FRA,261200,274400,314400,368200,393200,441700,408000,413700,459800,479000,482000,549900,667500,691800,748600,811776,777756,734679,695865,682263,728081,805731,825471,827851,771675,738003.426442238,754292,739353.599757151,641440,610197,607168,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gabon,GAB,12300,12300,12500,11000,10700,10400,11300,10800,10900,12000,12000,7100,10000,10100,7300,7445,7492,7474,7990,8342,8505,8524,9057,5654,5423,7516.15985130111,3002,1553,0,0,2765,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,140,1788,1848,35.112,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Georgia,GEO,..,..,..,..,..,..,..,..,..,1300,1400,2500,1600,1600,3000,1906,1945,4239,5514,4451,4673,4861,5347,5487,5054,2803,3896,3326,2933,3317,3958.8,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Germany,DEU,214700,234100,269100,294300,310800,344200,406600,458000,459200,521000,526600,566600,645900,673300,709800,738297,762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,971803.431596833,1021899.93850367,985668.769188173,954874,939270,950440.364,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ghana,GHA,5800,5500,7500,12300,11800,12600,19000,15100,3200,3400,3000,3300,3500,3500,5000,4873,5892,4382,3333,3333,..,..,..,..,..,5645.66956713294,10683,14902,16560,16764,20539.476,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greece,GRC,77000,75800,78600,79200,80100,79600,69800,79200,86200,86600,89200,92400,94200,90700,94100,108584,125269,113247,114100,137676,130515,133226,137697,128287,112671,136382.257932753,125477.119829729,111870,103800,134160,142446.444247215,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12139,11470,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guatemala,GTM,2200,1800,2100,2100,2300,3400,3400,4500,4600,4600,5100,5100,6400,6500,..,..,..,..,..,..,..,..,..,..,..,8875,9148,8091,2556,2214,3012,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea,GIN,3600,500,900,900,900,1100,1100,700,700,1400,700,700,700,700,600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guinea-Bissau,GNB,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Guyana,GUY,6700,4500,4500,4300,3800,3800,3300,3300,3300,3300,3500,3600,3600,3600,500,418,276,..,..,..,..,..,..,..,..,9351,12231,8625,0,0,0,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Haiti,HTI,800,800,800,800,800,800,800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Honduras,HND,11800,8100,11300,14700,15100,17100,12500,11800,13700,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21574,18287,16760,26796,24216,26029.628,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,124500,147100,167200,181500,193700,195200,224800,234700,72400,79182,85003,91096,87070,111136,122705,130014,141372,144039,149809,158255,173112,185506.37822568,199639,215562,228582,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Hungary,HUN,17200,17100,17300,16200,17500,18900,16600,19800,23100,20900,21600,24900,25700,27500,30200,32297,31654,33290,40233,46837,47362,45781,51003,49795,45861,111307,120826.212389811,88801.8316511268,103080,123708,145480.608,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iceland,ISL,18000,16700,18600,18400,17600,18300,17700,16900,17300,18700,19200,21600,21100,21700,14700,12589,11728,9989,9750,10832,11803,12785,14064,12431,12924,21668.3164735801,24488,26469,26643,28181,30899,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,India,IND,139900,151000,159500,157600,156300,125800,117500,120300,105300,130100,168400,151300,182500,196100,180500,198426,206690,231413,263870,302790,330484,453921,569033,592292,601977,623196.778558652,695626,678125.937793064,689094,724541.12,787998,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Indonesia,IDN,185800,181500,190600,206100,193200,205400,215700,236900,227200,230500,262200,311200,194700,196700,135000,159027,164651,152278,155609,318488,320724,357414,357789,345240,330112,520932.081983182,599692.276092406,641182.300723356,576000,623868,639388.756,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Iran, Islamic Rep.",IRN,27200,35200,34500,31000,36500,39900,41500,37700,41600,46500,48600,63300,83400,79600,75900,82610,141396,92621,138537,109706,121235,136075,137645,122226,133932,158014.183450955,161191.677604321,153142.822223706,161029,163595,155796.987,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Iraq,IRQ,7900,8400,8400,12400,12600,7800,200,500,..,300,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7692,9697,8993,4332,4332,4436.35957979075,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ireland,IRL,32500,33500,36600,61400,73000,79500,82400,76700,69000,70300,84000,95000,107200,122700,132700,145457,156277,177032,231296,261345,303697,350204,416205,483741,528098,601262,635065,648817.651510641,641412,658512,682655,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Israel,ISR,22500,22700,21800,27800,29600,29500,29900,39100,41900,44200,48000,50000,51400,50100,51600,56427,47648,49404,46334,34152,34104,36257,47038,45309,47856,47829,47195,47073.827458256,46644,49177,50006,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Italy,ITA,174700,172400,180100,189700,214200,229400,231500,261400,265300,268900,280000,306800,321400,338200,358900,367584,393484,350552,385911,382317,445968,447749,431647,382590,382897,335280,328771.58001328,306320.503320053,258027,244903,246495.656,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jamaica,JAM,27700,21600,24000,23300,25200,21300,20900,20000,20000,18700,17000,18300,12300,12500,20600,16577,24440,23343,23976,23338,21787,21133,22401,22894,16840,0,0,0,492,953,997,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Japan,JPN,417800,433300,441500,465400,468300,476000,495800,473000,474400,489300,535900,564000,573300,636500,661800,645087,640328,647953,639866,638430,651858,670252,656917,655495,641913,934487.439462563,812928,874677,915542.658,927666,953258,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Jordan,JOR,15200,14800,15000,15500,17400,14100,11000,14300,15500,16000,16800,17100,16700,15400,15900,16447,15893,16369,15354,17958,19689,26546,29415,30804,32490,39318.7915976253,40329.1978021978,39468,38998,38386,36622,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,5900,5900,20900,10300,10300,10400,9100,8041,8398,15426,19560,11754,17302,19160,19138,19229,18832,33483,40916,44580,66108,71220,72485.484,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kenya,KEN,11100,11800,12000,11700,12100,13000,11700,13200,13900,13200,13500,14400,19600,19800,25100,29080,24741,25873,27057,26218,28399,29039,32329,32045,33593,78265,84955,82576,98244,81636,81437.352,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Kiribati,KIR,4200,3400,3000,3000,3000,2900,2900,2900,2900,2900,3000,3100,3100,3200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Korea, Dem. People’s Rep.",PRK,5500,5400,5500,5800,5800,5800,5800,6100,6100,6100,6400,6400,6900,1000,1300,1332,1305,1396,1354,1652,1768,1839,1949,1986,1865,725,732,890,3576,3900,3759.6,..
